timestamp,event_type,stock_code,stock_name,title,body,event_key,status,channels
2026-04-21T08:30:20,earnings_reminder,TSLA,"Tesla, Inc.","📅 披露提醒: Tesla, Inc. (TSLA)","市场: US
事件: 财报日
披露日: 2026-04-23
详情: via yfinance",us:TSLA:财报日:20260423,sent,console=ok
2026-04-24T08:30:21,earnings_reminder,600519,贵州茅台,📅 披露提醒: 贵州茅台 (600519),"市场: A
事件: 预约披露
披露日: 2026-04-25
报告期: 20260331",a:600519:预约披露:20260425,sent,console=ok
2026-04-24T08:30:21,earnings_reminder,000001,平安银行,📅 披露提醒: 平安银行 (000001),"市场: A
事件: 预约披露
披露日: 2026-04-25
报告期: 20260331",a:000001:预约披露:20260425,sent,console=ok
